Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
﻿Калининский;Политехническая ул.;6;;Б;Студия Н;49,65;11;5238000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;12;;;Студия Н;50;;7100000;Лесная;https://www.emls.ru/fullinfo/4/333101.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;50,4;;5500000;Площадь Мужества;https://www.emls.ru/fullinfo/4/330896.html
Калининский;Жукова ул.;1;;;Студия Н;51;4;7395000;Площадь Ленина;
Калининский;Политехническая ул.;6;;Б;Студия Н;51,03;10;6123000;Площадь Мужества;
Калининский;Кушелевская дорога;7;4;;Студия Н;51,5;;6150000;Площадь Мужества;https://www.emls.ru/fullinfo/4/310423.html
Калининский;Жукова ул.;1;;;Студия Н;52;;8157000;Площадь Ленина;https://www.emls.ru/fullinfo/4/706822927.html
Калининский;Маршала Блюхера пр.;12;;;Студия Н;52,2;;7730000;Лесная;https://www.emls.ru/fullinfo/4/706823247.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;52,7;;5375000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706812690.html
Калининский;Жукова ул.;1;;;Студия Н;52,8;10;7392000;Площадь Ленина;
﻿Калининский;Жукова ул.;1;;;Студия Н;55;;7547000;Площадь Ленина;https://www.emls.ru/fullinfo/4/706822940.html
Калининский;Жукова ул.;1;;;Студия Н;55;;7896000;Площадь Ленина;https://www.emls.ru/fullinfo/4/706822941.html
Калининский;Жукова ул.;1;;;Студия Н;55;;8374000;Площадь Ленина;https://www.emls.ru/fullinfo/4/706822928.html
