Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
Василеостровский;Средний пр.;85;;;Студия;103,2;2;13000000;Василеостровская;https://www.emls.ru/fullinfo/1/1400173.html
Василеостровский;Средний пр.;70;;;Студия;15;2;1745000;Василеостровская;https://www.emls.ru/fullinfo/1/1466770.html
Василеостровский;Средний пр.;70;;;Студия;17,5;2;2145000;Василеостровская;https://www.emls.ru/fullinfo/1/1468220.html
﻿Василеостровский;Средний пр.;70;;;Студия;19,5;2;2285000;Василеостровская;https://www.emls.ru/fullinfo/1/1467583.html
Василеостровский;18-я линия В.О.;11;;;Студия;18;2;2285000;Василеостровская;https://www.emls.ru/fullinfo/1/1465995.html
Василеостровский;18-я линия В.О.;11;;;Студия;17,6;2;2385000;Василеостровская;https://www.emls.ru/fullinfo/1/1468681.html
Василеостровский;18-я линия В.О.;11;;;Студия;19,5;2;2485000;Василеостровская;https://www.emls.ru/fullinfo/1/1466745.html
Василеостровский;18-я линия В.О.;11;;;Студия;29,2;2;3295000;Василеостровская;https://www.emls.ru/fullinfo/1/1468457.html
Василеостровский;Вадима Шефнера ул.;10;1;;Студия;26;12;3867000;Приморская;https://www.emls.ru/fullinfo/1/706566926.html
Выборгский;Заречная ул.;19;1;;Студия;31;6;3500000;Парнас;https://www.emls.ru/fullinfo/1/1463891.html
Выборгский;Выборгское ш.;27;3;;Студия;28,6;5;3800000;;https://www.emls.ru/fullinfo/1/1469400.html
Выборгский;Выборгское ш.;17;1;;Студия;37,4;22;5400000;Озерки;https://www.emls.ru/fullinfo/1/1439593.html
Выборгский;Большой Сампсониевский пр.;4;;;Студия;42;10;9000000;Горьковская;https://www.emls.ru/fullinfo/1/706535666.html
﻿Выборгский;Луначарского пр.;84;4;;Студия;16;1;1485000;;https://www.emls.ru/fullinfo/1/1471607.html
Выборгский;Луначарского пр.;84;4;;Студия;15,5;1;1485000;;https://www.emls.ru/fullinfo/1/1469529.html
Выборгский;Луначарского пр.;84;4;;Студия;18;1;1685000;;https://www.emls.ru/fullinfo/1/1471143.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;25,2;1;2065000;Озерки;https://www.emls.ru/fullinfo/4/327152.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;26,4;1;2270000;Озерки;https://www.emls.ru/fullinfo/1/1471195.html
Выборгский;Есенина ул.;28;1;;Студия;14;1;2350000;;https://www.emls.ru/fullinfo/1/1466447.html
Выборгский;Тихоокеанская ул.;1;1;;Студия;30,5;1;2380000;Озерки;https://www.emls.ru/fullinfo/1/1470646.html
